        A 马克思主义、列宁主义、毛泽东思想、邓小平理论
                    E964 运动通信（传递通信）
                    E965 简易通信
                    E966 军邮
                    E967 各军、兵种通信
                        E967.0 合成军通信
                        E967.1 陆军通信
                        E967.3 海军通信
                        E967.4 空军通信
                        E967.5 战略导弹部队通信
                    [E968] 通信电源
            E99 军事地形学、军事地理学
                E991 军事地形学
                E992 军事测绘学
                    E992.1 军事测量学
                    E992.2 军事制图学
                E993 军事地理学
                    E993.1 世界军事地理
                    E993.2 中国军事地理
                    E993.3/.7 各国军事地理
                E994 军事地图
                    E994.1/.7 陆军作战图
                    E994.8 军用海图
                    E994.9 军用航空地图
        F 经济
            F0 经济学
                F0-0 马克思主义政治经济学（总论）
                F01 经济学基本问题
                    F011 经济学的对象和方法
                    F012 经济规律
                    F014 经济范畴
                        F014.1 生产、生产力、生产关系、生产方式
                        F014.2 劳动、劳动生产率、劳动分工
                        F014.3 商品生产与交换
                            F014.31 价格理论
                            F014.32 需求理论、供给理论
                            F014.35 经济效益
                            F014.36 经济机制
                            F014.39 资本和剩余价值
                        F014.4 国民收入与分配
                        F014.5 消费与积累
                        F014.6 社会再生产
                        F014.9 其他经济范畴
                    F015 宏观经济学
                    F016 微观经济学
                    F019 其他经济理论
                        F019.1 均衡理论
                        F019.2 静态经济学、动态经济学
                        F019.3 规范经济学、实证经济学
                        F019.4 合理预期
                        {F019.5} 公共选择
                        F019.6 经济政策理论
                F02 前资本主义社会生产方式
                    F021 原始社会
                    F022 奴隶社会
                    F023 封建社会
                F03 资本主义社会生产方式
                    F030 生产关系、所有制
                    F031 商品生产与交换
                        F031.1 商品、商品生产
                        [F031.2] 货币
                        F031.3 价值、价值规律
                        F031.4 价格
                        F031.5 经济效益
                        F031.6 经济机制
                    F032 资本和剩余价值
                        F032.1 资本
                        F032.2 剩余价值及其分配
                    F033 雇佣劳动和工资
                    F034 资本积累和无产阶级贫困化
                    F035 社会资本再生产
                        F035.1 社会生产、再生产
                        F035.2 部门间的关系
                        F035.3 社会总产品、国民生产总产值
                        F035.4 计划和市场
                    F036 国民收入和分配
                        F036.1 国民财富
                        F036.3 消费与积累
                        F036.5 生活方式
                    F037 经济循环
                        F037.1 经济周期与经济波动
                        F037.2 经济停滞、衰退与复苏
                        F037.3 景气预测
                    F038 垄断资本主义-帝国主义
                        F038.1 金融资本和金融寡头
                        F038.2 垄断与竞争
                        F038.3 资本输出
                        F038.4 国家垄断资本
                        F038.5 经济军事化
                        F038.6 帝国主义对殖民地的经济掠夺
                        F038.8 “后工业社会”论
                    F039 资本主义经济危机
                F04 社会主义社会生产方式
                    F041 从资本主义到社会主义的过渡
                        F041.1 生产资料社会主义国有化
                        F041.2 国民经济社会主义改造
                        [F041.3] 社会主义工业化
                        F041.8 由前资本主义生产方式向社会主义过渡问题
                    F042 社会主义社会生产力与生产关系
                        F042.1 社会主义物质技术基础
                        F042.2 生产力、生产关系、所有制
                    F043 社会主义经济规律
                    F044 社会主义劳动
                    F045 商品生产与交换
                        F045.1 商品、商品生产
                        [F045.2] 货币
                        F045.3 价值、价格
                            F045.31 价值、价值规律
                            F045.32 价格
                            F045.33 成本利润
                        F045.4 经济效益
                        F045.5 社会主义计划与市场
                            F045.51 国家的经济职能
                        F045.6 经济机制
                        F045.9 资本和剩余价值
                    F046 社会主义分配制度
                        F046.1 按劳分配原则
                        F046.2 物质鼓励
                        F046.3 分配方式
                            F046.31 全民所有制经济
                            F046.32 集体所有制经济
                            F046.33 私有制经济
                        [F046.4] 工资制度
                    F047 国民收入与分配
                        F047.1 国民财富
                        F047.2 社会总产品和国民收入
                        F047.3 积累和消费
                        F047.5 生活方式
                    F048 社会主义再生产
                        F048.1 简单再生产、扩大再生产
                        F048.2 部门间的关系
                    F049 经济循环
                F05 共产主义社会生产方式
                F06 经济学分支科学
                    [F061.1] 生产力经济学
                    F061.2 增长经济学
                    F061.3 发展经济学
                    F061.4 福利经济学
                    F061.5 区域经济学
                    F061.6 国土经济学
                    F062.1 资源经济学
                    F062.2 生态经济学
                    F062.3 科学经济学、知识经济学
                    F062.4 技术经济学
                    F062.5 信息经济学
                    F062.6 公共经济学
                    F062.9 产业经济学
                    F063.1 非生产领域经济学
                    [F063.2] 消费经济学
                    [F063.3] 国防经济学
                    F063.4 家庭经济学
                    F063.6 民族经济学
                    [F064.1] 计量经济学
                    F064.2 比较经济学
                    F065.2 短缺经济学
                    {F069} 其他
                    F069.9 其他
                F08 各科经济学
                F09 经济思想史
                    F091 世界
                        F091.1 古代经济思想（公元前约3500~公元476年）
                        F091.2 中世纪经济思想（476~1640年）
                        F091.3 近现代经济思想（1640年~）
                            F091.31 重商主义
                            F091.32 重农主义
                            F091.33 古典经济学
                            F091.34 庸俗经济学
                                F091.341 马尔萨斯主义
                                F091.342 历史学派、新历史学派
                                F091.343 奥地利学派（心理学派）
                                F091.344 社会学派
                                F091.345 数理经济学派（洛桑学派）
                                F091.346 北欧学派（瑞典学派、斯德哥尔摩学派）
                                F091.347 剑桥学派（新古典学派）
                                F091.348 凯恩斯学派、凯恩斯主义
                                    F091.348.1 新古典综合派、后凯恩斯主义
                                    F091.348.2 新剑桥学派
                                F091.349 制度学派、新制度学派（现代制度学派）
                                F091.351 合作主义
                                F091.352 新自由主义
                                    F091.352.1 伦敦学派
                                    F091.352.2 弗赖堡学派
                                    F091.352.3 合理预期学派（理性预期学派）
                                    F091.352.4 供给学派（弹性学派）
                                F091.353 货币主义
                                F091.354 熊彼得（Schumpeter,J.A.）经济思想
                                F091.355 罗斯托（Rostow,W.W.）经济思想
                        F091.4 小资产阶级经济学派
                        F091.5 空想社会主义经济思想
                        F091.9 马克思列宁主义经济思想
                            F091.91 马克思、恩格斯经济思想
                            F091.92 列宁、斯大林经济思想
                            F091.93 毛泽东、邓小平经济思想
                            {F091.94} 苏联经济思想
                            {F091.95} 东欧经济思想
                            F091.96 西方马克思主义经济思想、右翼社会主义经济思想
                    F092 中国经济思想
                        F092.2 古代
                        F092.6 近代
                        F092.7 现代
                    F093/097 各国经济思想
            F1 世界各国经济概况、经济史、经济地理
                F11 世界经济、国际经济关系
                    F11-0 世界经济学、国际经济学
                    F11-6 世界经济、国际经济关系参考工具书
                        F11-66 世界经济统计资料
                    F110 政策、规划
                    F112 世界经济概况
                        F112.1 发展中国家经济
                        F112.2 发达国家经济
                        F112.5 社会主义国家经济
                        F112.7 资本主义国家经济
                    F113 世界经济问题
                        F113.1 世界经济结构与体制
                        F113.2 国际经济技术合作
                        F113.3 世界资源问题
                        F113.4 世界经济发展水平、趋势及预测
                        F113.7 世界经济波动与经济危机
                        F113.8 国民收入与支出、国民财富
                        F113.9 人民生活状况
                    F114 国际经济关系
                        F114.1 国际分工
                        F114.3 国际经济新秩序
                        F114.4 国际经济合作
                            F114.41 国际经济一体化
                            F114.42 社会主义国家间的经济关系
                            F114.43 发展中国家间的经济关系
                            F114.44 发达国家与发展中国家间的经济关系
                            F114.45 东西方间的经济关系
                            F114.46 区域间经济关系
                            F114.49 其他
                    F115 国际经济矛盾和斗争
                    F116 国际经济组织与会议
                        [F116.1] 联合国经济机构
                        F116.2 发展中国家
                        F116.5 社会主义国家
                        F116.7 发达国家
                    F117 国际经济条约、协定
                    F119 世界经济史
                    F119.9 世界经济地理
                F12 中国经济
                    F120 方针政策及其阐述
                        F120.2 中国社会主义经济基本理论问题
                        F120.3 经济发展道路、模式
                        F120.4 经济发展战略
                    F121 社会经济结构与体制
                        F121.1 过渡时期经济成分及其改造
                        F121.2 社会主义所有制形式
                            F121.21 全民所有制
                            F121.22 集体所有制
                            F121.23 个体经济、私营经济
                            F121.24 合营经济
                            F121.25 中外合资经营
                            F121.26 股份制、租赁制
                            F121.29 其他经济成分
                        F121.3 产业结构
                    F123 国民经济计划及其管理
                        F123.1 计划管理
                            F123.11 计划工作
                            F123.13 计划调节
                            F123.14 中央与地方关系
                            F123.15 国家与企业关系
                            F123.16 宏观经济管理
                            {F123.17} 国有资产管理与评估
                        F123.2 远景规划
                        F123.3 国民经济发展综合计划
                            F123.31 第一个五年计划
                            F123.32 第二个五年计划
                            F123.33 第三个五年计划
                            F123.34 第四个五年计划
                            F123.35 第五个五年计划
                            F123.36 第六个五年计划
                            F123.37 第七个五年计划
                            F123.38 第八个五年计划
                            F123.391 第九个五年计划
                            F123.392 第十个五年计划
                            F123.393 第十一个五年计划
                        F123.5 经济发展年度计划
                        F123.6 基本建设计划与管理
                        F123.7 国有资产管理与评估
                        F123.8 专题规划
                    F123.9 市场机制与市场调节
                    F124 经济建设和发展
                        F124.1 国民经济现代化
                        F124.3 技术发展与革新
                        F124.4 专业化与协作
                        F124.5 资源开发与利用
                        F124.6 提高经济效益
                        F124.7 国民收入、国民财富
                        F124.8 经济波动
                        F124.9 其他
                    F125 对外经济关系
                        F125.1 对外经济政策
                        F125.2 组织与活动
                        F125.3 经济条约、协定
                        F125.4 对外经济合作
                        F125.5 对各国经济关系
                    F126 人民生活状况
                        F126.1 人民消费水平、结构
                        F126.2 人民收入与家计调查
                    F127 地方经济
                    F127.8 少数民族经济
                    F127.9 特区经济、经济技术开发区经济
                    F129 中国经济史
                    F129.9 中国经济地理
                F13/17 各国经济
            F2 经济计划与管理
                F20 国民经济管理
                    F201 经济预测
                    F202 经济决策
                    F203 生产行业管理
                    F203.9 工商行政管理
                    F204 科学技术管理
                    F205 资源、环境和生态管理
                    F206 能源管理
                    F207 生产布局和区域经济管理
                    F208 经济信息管理
                F21 经济计划
                    F210 国民经济计划原理
                    F211 国民经济计划体系
                    F213 各种专门计划
                        F213.1 综合生产计划
                        [F213.2] 基本建设计划
                        F213.3 价格成本与流通费用计划
                        F213.4 国民收入计划
                        F213.5 部门经济计划
                        F213.9 其他
                F22 经济计算、经济数学方法
                    F221 经济核算
                    F222 经济统计学
                        F222.1 经济统计方法
                        F222.3 专门经济统计
                            F222.31 部门经济统计
                            F222.32 劳动统计
                            F222.33 国民经济计算体系
                            F222.34 人民生活统计
                            F222.39 其他专门经济统计
                        F222.5 国际经济统计
                        F222.7 经济统计组织与工作
                    F223 投入产出分析
                    F224 经济数学方法
                        F224-3 经济研究方法、工作方法
                            F224-39 电子计算机的应用
                        F224.0 数量经济学
                        F224.1 经济控制论、系统论、信息论
                            F224.11 经济控制论
                            F224.12 经济系统分析
                            F224.13 经济信息理论
                        F224.3 运筹学在经济中的应用
                            F224.31 线性规划
                            F224.32 博弈论
                            F224.33 网络理论、统筹法
                            F224.34 排队论
                        F224.5 费用效益分析（成本-效益分析）
                        F224.7 概率论与数理统计在经济中的应用
                        F224.9 经济数学方法的应用
                F23 会计
                    F230 会计学
                        F230.9 会计数学
                    F231 会计簿记方法
                        F231.1 资产负债表
                        F231.2 复式记账和账户
                        F231.3 会计凭证和财产清查
                        F231.4 帐簿和记帐技术
                        F231.5 会计报表
                        F231.6 会计检查和监督
                    F232 会计设备
                    F233 会计工作组织与制度
                    F234 各种会计和簿记
                        F234.1 社会会计
                        F234.2 成本会计
                        F234.3 管理会计
                        F234.4 财务会计
                        F234.5 国际会计
                    F235 各部门会计和簿记
                        [F235.1] 国家机关会计（政府会计）、预算会计
                        [F235.19] 企业会计
                        [F235.2] 金融、保险业会计
                        [F235.3] 基本建设、物资、施工企业会计
                        [F235.4] 农业会计
                        [F235.5] 工业会计
                        [F235.6] 交通运输业会计
                        [F235.69] 旅游业会计
                        [F235.7] 邮电业会计
                        [F235.8] 商业会计、外贸会计
                        [F235.91] 房地产开发企业会计
                        [F235.92] 文化、电影、新闻出版企业会计
                        [F235.99] 其他
                F239 审计
                    F239.0 审计学
                    F239.1 审计方法与技术
                    F239.2 审计工作组织与制度
                        F239.21 世界
                        F239.22 中国
                            F239.220 政策
                            F239.221 制度
                            F239.222 组织机构
                            F239.227 地方审计业务
                        F239.23/.27 各国
                    F239.4 各类审计
                        F239.41 财政财务审计、财经法纪审计
                        F239.42 经济效益审计
                        F239.43 民间审计
                        F239.44 国家审计
                        F239.45 内部审计
                        F239.47 经济责任审计
                    F239.6 专业审计
                        F239.61 农业审计
                        F239.62 工业、交通、邮电、旅游审计
                        F239.63 基本建设审计、物资审计、水利审计
                        F239.64 商业、外贸审计
                        F239.65 财政、金融审计
                        F239.66 行政事业审计
                        F239.67 外资审计
                F24 劳动经济
                    F240 劳动经济理论
                    F241 劳动力
                        F241.1 劳动力计划
                        F241.2 劳动力市场
                            F241.21 劳动力需求
                            F241.23 劳动力市场类型
                        F241.3 劳动制度
                            F241.31 劳动体制
                            F241.32 用工制度
                            [F241.33] 培训制度
                            F241.34 退休制度
                        F241.4 劳动就业与失业
                    F242 劳动生产率
                    F243 劳动组织和管理
                        F243.1 劳动组织
                        F243.2 劳动分工与协作
                        F243.3 劳动定额
                        F243.4 劳动竞赛
                        F243.5 劳动纪律、生产责任制
                    F244 劳动工资、劳动报酬
                        F244.1 工资形式
                        F244.2 工资制度
                        F244.3 奖励制度
                    F245 劳动工时
                    F246 劳动关系
                    [F247] 劳动保护
                    F249 世界各国劳动经济概况
                        F249.1 世界
                            F249.11 发展中国家
                            F249.12 发达国家
                            F249.15 社会主义国家
                            F249.17 资本主义国家
                            F249.19 劳动经济史
                        F249.2 中国
                            F249.20 政策
                            F249.21 劳动力
                            F249.22 劳动生产率
                            F249.23 劳动组织
                            F249.24 劳动工资
                            F249.25 劳动工时
                            F249.26 劳动关系
                            F249.27 地方劳动经济
                            F249.29 劳动经济史
                        F249.3/.7 各国
                F25 物资经济
                    F250 物资经济理论
                    F251 物资管理
                        F251.1 物资管理体制
                        F251.2 物资计划
                        F251.3 物资统计
                    F252 物资流通
                        F252.1 物资流通体制
                        F252.2 物资市场
                            F252.21 物资供应与需求
                            F252.22 生产资料贸易组织
                            F252.23 城乡交流
                            F252.24 物资流通专业化
                        F252.3 物资流通费用、资金和利润
                        F252.4 物资价格
                        F252.5 物资流通经济效益
                        F252.8 各类物资流通
                            F252.81 原材料流通
                            F252.82 设备流通
                    F253 物资企业经营与管理
                        F253.1 计划管理
                        F253.2 采购管理
                        F253.3 质量管理
                        F253.4 库存、储备及调运管理
                        F253.5 定额消耗与节约
                        F253.7 财务管理
                        F253.9 物资经济现代化管理
                    F259 世界各国物资经济
                        F259.1 世界
                        F259.2 中国
                            F259.21 物资计划与管理体制
                            F259.22 物资流通
                            F259.23 物资企业经营与管理
                            F259.27 地方物资经济
                            F259.29 物资经济史
                        F259.3/.7 各国
                F27 企业经济
                    F270 企业经济理论和方法
                        F270-05 企业经济与其他科学的关系
                        F270.3 企业经济效益
                        [F270.5] 企业管理的数学方法
                        F270.7 企业现代化管理
                    F271 企业体制
                    F272 企业计划与经营决策
                        F272.1 预测
                        F272.2 计划
                        F272.3 经营决策
                        F272.5 经济评价
                        F272.9 企业行政管理
                            F272.91 企业领导
                            F272.92 人事管理
                            F272.93 民主管理
                    F273 企业生产管理
                        F273.1 企业技术管理
                        F273.2 产品管理
                        F273.4 企业资产管理
                        F273.7 企业（行业）间联系
                    F274 企业供销管理
                    F275 企业财务管理
                        F275.1 企业资金管理
                        F275.2 企业会计核算
                        F275.3 企业成本管理
                        F275.4 利润与收入分配
                        F275.5 经济活动分析
                    F276 各种企业经济
                        F276.1 国有企业经济
                        F276.2 合作经济、合作社
                        F276.3 中小型企业、乡镇企业
                        F276.4 联合企业经济
                            F276.41 部门间经济综合体
                            F276.42 科研、生产联合企业
                            F276.43 合资经营企业
                            F276.44 高新技术企业
                        F276.5 私营企业
                        F276.6 公司
                        F276.7 跨国公司
                        F276.8 垄断组织
                    F279 世界各国企业经济
                        F279.1 世界
                            F279.11 发展中国家
                            F279.12 发达国家
                            F279.15 社会主义国家
                            F279.17 资本主义国家
                        F279.2 中国
                            F279.21 企业组织与体制
                            F279.23 企业管理
                            F279.24 各种企业经济
                            F279.26 个别企业经济
                            F279.27 地方企业经济
                            F279.29 企业史
                        F279.3/.7 各国
                F28 基本建设经济
                    F280 基本建设理论与方法
                    F281 基本建设计划与管理
                    F282 基本建设研究与决策
                    F283 基本建设投资与经济效益
                    F284 基本建设组织与管理
                    F285 基本建设财务（建设单位财务）
                    F287 各部门基本建设经济
                        [F287.1] 农林建设
                        [F287.2] 工业建设
                        [F287.3] 交通运输建设
                        [F287.4] 商业、服务业建设
                        [F287.5] 文教事业建设
                        [F287.6] 科研事业建设
                        [F287.7] 公用事业建设
                        [F287.8] 住宅建设
                F29 城市与市政经济
                    F290 城市经济理论
                    F291 城镇的形成与发展
                        F291.1 城市发展道路、城市化
                        F291.3 城乡经济联系
                    [F292] 城镇规划与建设
                    F293 城市经济管理
                        F293.1 城市经济结构
                        F293.2 城市土地开发与利用
                        F293.3 房地产经济
                            F293.30 房地产经济理论
                            F293.31 房地产制度
                            F293.33 房地产管理
                            F293.35 房地产市场
                    F294 基础设施、公用事业建设与管理
                        F294.1 公用事业
                        F294.2 动力设施
                        F294.3 交通运输与邮电设施
                        F294.9 其他市政设施
                    F299 世界各国城市市政经济概况
                        F299.1 世界
                            F299.11 发展中国家
                            F299.12 发达国家
                            F299.15 社会主义国家
                            F299.17 资本主义国家
                        F299.2 中国
                            F299.21 城镇形成与发展
                            [F299.22] 城镇规划与建设
                            F299.23 城市经济管理
                            F299.24 基础设施与公用事业
                            F299.27 地方城市经济
                            F299.29 城市经济史
                        F299.3/.7 各国
            F3 农业经济
                F30 农业经济理论
                    F301 土地经济学
                        F301.0 土地政策
                        F301.1 土地制度
                            F301.11 土地改革
                            F301.12 土地国有化
                        F301.2 土地管理、规划及利用
                            F301.21 耕地管理与保护
                            F301.22 土地行政管理
                            F301.23 土地规划
                            F301.24 土地开发与利用
                        F301.3 地产经营
                        F301.4 地租
                        F301.5 土地统计
                    F302 农业计划与管理
                        F302.1 农业计划工作
                        F302.2 农业管理体制
                        F302.3 农业系统工程
                        F302.4 农业经济信息
                        F302.5 农业数学、农业统计学
                        F302.6 农业财务管理、经济核算
                        F302.7 农业固定资产管理
                    F303 农业建设与发展
                        F303.1 农业基本建设与投资
                        F303.2 农业技术发展与技术革新
                        F303.3 农业现代化建设
                        F303.4 农业资源的开发与利用
                    F304 农业生产
                        F304.1 农业部门结构与综合开发
                        F304.2 农业商品生产与价格
                        F304.3 农产品经营与农产品市场
                        F304.4 农业资金、农业投资
                        F304.5 农业生产布局、农业区域规划
                        F304.6 农业劳动力利用与转移
                        F304.7 农业生产集约化、农业劳动生产率
                        F304.8 收入分配与农业劳动报酬
                    F306 农业企业经营与管理
                        F306.1 农场
                        F306.2 农机站
                        F306.3 农业试验场、农业技术推广站、科学园区
                        F306.4 农业合作组织
                        F306.5 农工商联合企业
                        F306.6 农业生产服务组织
                    F307 农业部门经济
                        F307.1 种植业
                            F307.11 粮食作物
                            F307.12 经济作物
                            F307.13 园艺作物
                        F307.2 林业
                        F307.3 畜牧业、饲养业
                        F307.4 渔业、水产业
                        F307.5 农家副业、农产品加工工业
                F31 世界农业经济
                    F310 农业经济政策
                    F311 土地问题
                    F312 农业经济概况
                        F312.1 发展中国家
                        F312.2 发达国家
                        F312.5 社会主义国家
                        F312.7 资本主义国家
                    F313 农业建设与发展
                    F316 农业部门经济
                        F316.1 种植业
                            F316.11 粮食作物
                            F316.12 经济作物
                            F316.13 园艺作物
                        F316.2 林业
                            F316.20 经济政策
                            F316.21 经济概况
                            F316.23 林业建设与发展
                            F316.25 林业企业组织
                            F316.29 林业经济史
                            F316.299 林业经济地理
                        F316.3 畜牧业、饲养业
                        F316.4 渔业、水产业
                        F316.5 农家副业、农产品加工工业
                    [F318] 农民生活状况
                    F319 农业经济史
                    F319.9 农业经济地理
                F32 中国农业经济
                    F320 方针政策及其阐述
                        F320.1 农业现代化道路、模式
                        F320.2 农村经济改革
                        F320.3 农村发展与建设方针
                    F321 农村经济结构与体制
                        F321.1 土地问题
                        F321.2 农业社会主义改造
                            F321.21 互助组
                            F321.22 初级农业生产合作社
                            F321.23 高级农业生产合作社
                        F321.3 农业所有制
                            F321.31 全民所有制
                            F321.32 集体所有制
                            F321.33 个体所有制
                        F321.4 农业合作形式
                            F321.41 生产责任制
                            F321.42 经济联合体
                        F321.5 农村雇工
                    F322 农业计划与管理
                    F323 农业经济建设与发展
                        F323.0 农业发展速度与部门间比例
                        F323.1 农业区域规划与生产布局
                        F323.2 农业资源开发与利用
                            F323.21 农业资源类型及评价
                            F323.22 农村生态环境保护
                            F323.24 国土整治
                        F323.3 农业技术改造、农业技术经济
                        F323.4 集约耕种、多种经营、综合开发
                        F323.5 农业商品生产、农业劳动生产率
                        F323.6 农业劳动力与农业人口
                        F323.7 农产品价格与市场
                        F323.8 农业收入与分配
                        F323.89 农村社会保障、福利事业
                        F323.9 农业资金、农业投资
                    F324 农业企业组织与管理
                        F324.1 农场
                        F324.2 农机站
                        F324.3 农业试验站、农业技术推广站、科技中心
                        F324.5 农工商联合体
                        F324.6 农业生产服务组织
                        F324.9 其他
                    F325 农村生产组织与经营管理
                        F325.1 生产组织
                            F325.11 生产大队、生产队
                            F325.12 联合组织、经济联社
                            F325.14 专业户
                            F325.15 个体农民
                        F325.2 生产管理、经营管理
                            F325.21 生产计划
                            F325.22 劳动组织
                            [F325.24] 财务管理、经济核算
                            [F325.25] 固定资产、耕畜利用及管理
                            F325.27 增产措施
                        [F325.3] 乡镇企业
                        F325.4 农村干部、乡镇干部
                        F325.7 各地农村生产组织情况调查
                    F326 农业部门经济
                        F326.1 种植业
                            F326.11 粮食作物
                            F326.12 经济作物
                            F326.13 园艺作物
                        F326.2 林业
                            F326.20 林业方针政策及其阐述
                            F326.22 经济结构与体制
                            F326.23 经济建设与发展
                            F326.24 生产与经济效益
                            F326.25 林业企业组织与经营管理
                            F326.27 地方林业经济
                            F326.29 林业经济史
                            F326.299 林业经济地理
                        F326.3 畜牧业、饲养业
                        F326.4 渔业、水产业
                        F326.5 农家副业、农产品加工工业
                        F326.6 农村生产服务业
                    F327 地方农业经济
                    F327.8 少数民族农业经济
                    F327.9 特区农业经济
                    [F328] 农民生活状况
                    F329 中国农业经济史
                        F329.0 各时代史
                        F329.1/.7 各地区史
                    F329.9 中国农业经济地理
                F33/37 各国农业经济
            F4 工业经济
                F40 工业经济理论
                    F401 工业经济结构与体制
                        F401.1 资本主义工业所有制
                        F401.3 社会主义工业所有制
                    F402 工业计划与管理体制
                        F402.1 工业计划工作
                        F402.2 工业管理体制
                        F402.3 行业管理与组织
                        F402.4 工业统计
                    F403 工业建设与发展
                        F403.1 工业国有化
                        F403.2 工业部门结构、发展速度与比例关系
                        F403.3 工业生产布局与资源利用
                        F403.4 工业部门协作与配合、工业专门化
                        F403.5 工业基本建设投资
                        F403.6 工业技术发展与革新
                        F403.7 工业技术经济分析
                        F403.8 工业经济效益
                    F404 工业劳动与工资、劳动生产率
                        F404.1 劳动力供应与培训
                        F404.2 劳动与工资
                        F404.3 劳动生产率
                    F405 工业品供销与市场
                    F406 工业企业组织与管理
                        F406.1 工业组织领导与行政管理
                            F406.11 经营策略与领导方法
                            F406.12 民主管理
                            F406.13 工业心理学
                            F406.14 现代化管理
                            F406.15 人事管理、劳动管理
                            F406.17 行政管理
                        F406.2 生产管理、生产过程组织
                        F406.3 技术管理、定额管理
                        F406.4 固定资产管理
                        F406.5 原料、材料、燃料的管理
                        F406.6 车间、班、组管理
                        F406.7 财务管理与经济核算
                            F406.71 资金管理
                            F406.72 财务管理、成本管理
                            F406.73 经济活动分析
                        [F406.8] 劳动保护与安全管理
                        F406.9 其他
                    F407 工业部门经济
                        F407.1 地质、矿业
                        F407.2 能源工业、动力工业
                            F407.21 煤炭工业
                            F407.22 石油、天然气工业
                            F407.23 核能工业
                        F407.3 冶金工业
                        F407.4 金属加工、机械工业
                            F407.41 金属加工工业
                            F407.42 重型机械工业
                            F407.44 轻工机械工业
                            F407.45 化工机械工业
                            F407.47 交通运输机械工业
                                F407.471 汽车
                                F407.472 机车、车辆
                                F407.474 船舶
                            F407.48 武器工业
                        F407.5 航空、航天工业
                        F407.6 电气、电子工业
                            F407.61 电力、电机工业
                            F407.63 电子工业
                            F407.67 自动化技术、计算机工业
                        F407.7 化学工业
                        F407.8 轻工业、手工业
                            F407.81 纺织、印染
                            F407.82 食品
                            F407.83 造纸
                            F407.84 印刷
                            F407.85 皮革
                            F407.86 服装工业
                            F407.87 钟表工业
                            F407.88 林产、木材加工工业、家具工业
                            F407.89 其他轻工业
                            F407.899 手工业
                        F407.9 建筑、水利工程
                F41 世界工业经济
                    F410 工业政策
                    F414 工业建设与发展
                    F415 国际工业经济关系
                        F415.1 国际分工、联合
                        F415.2 技术引进、技术转让
                    F416 工业部门经济
                        F416.1 地质、矿业
                        F416.2 能源工业、动力工业
                            F416.21 煤炭工业
                            F416.22 石油、天然气工业
                            F416.23 核能工业
                        F416.3 冶金工业
                            F416.31 钢铁工业
                            F416.32 有色金属冶金工业
                        F416.4 金属加工、机械工业
                            F416.41 金属加工工业
                            F416.42 重型机械工业
                            F416.44 轻工机械工业
                            F416.45 化工机械工业
                            F416.47 交通运输机械工业
                            F416.48 武器工业
                        F416.5 航空、航天工业
                        F416.6 电气、电子工业
                            F416.61 电力、电机工业
                            F416.63 电子工业
                            F416.67 自动化技术、计算机工业
                        F416.7 化学工业
                        F416.8 轻工业、手工业
